Export Date,Binder,Item Type,Card Name,Number,Set,Set Series,Rarity,Condition,Variation,Language,Graded,Grade,Grading Company,Quantity,Market Price,Adjusted Price,Profit/Loss,Marketplace Fees,Net After Fees,Acquisition Price,Acquisition Date
03/31/2026,"""All_Cards""",Card,"""Drayton""","""232/191""","""SV08: Surging Sparks""","""Pokemon""","""Ultra Rare""","""Near Mint""","""Holofoil""",English,No,,,1,$1.27,$1.27,,$0,$1.27,,"""03/31/2026"""
03/31/2026,"""All_Cards""",Card,"""Poochyena""","""GG33/GG70""","""Crown Zenith: Galarian Gallery""","""Pokemon""","""Ultra Rare""","""Near Mint""","""Holofoil""",English,No,,,1,$4.7,$4.7,,$0,$4.7,,"""03/31/2026"""
03/31/2026,"""All_Cards""",Card,"""Duskull""","""GG28/GG70""","""Crown Zenith: Galarian Gallery""","""Pokemon""","""Ultra Rare""","""Near Mint""","""Holofoil""",English,No,,,1,$3.22,$3.22,,$0,$3.22,,"""03/31/2026"""
03/31/2026,"""All_Cards""",Card,"""Team Rocket's Transceiver""","""263/217""","""ME: Ascended Heroes""","""Pokemon""","""Ultra Rare""","""Near Mint""","""Holofoil""",English,No,,,1,$3.33,$3.33,,$0,$3.33,,"""03/31/2026"""
03/31/2026,"""All_Cards""",Card,"""Battle Cage""","""116/094""","""ME02: Phantasmal Flames""","""Pokemon""","""Ultra Rare""","""Near Mint""","""Holofoil""",English,No,,,1,$2,$2,,$0,$2,,"""03/31/2026"""
03/31/2026,"""All_Cards""",Card,"""Mystery Garden""","""172/132""","""ME01: Mega Evolution""","""Pokemon""","""Ultra Rare""","""Near Mint""","""Holofoil""",English,No,,,1,$1.45,$1.45,,$0,$1.45,,"""03/31/2026"""
03/31/2026,"""All_Cards""",Card,"""Shadow Rider Calyrex VMAX""","""TG18/TG30""","""SWSH10: Astral Radiance Trainer Gallery""","""Pokemon""","""Ultra Rare""","""Near Mint""","""Holofoil""",English,No,,,1,$9.77,$9.77,,$0,$9.77,,"""03/31/2026"""
03/31/2026,"""All_Cards""",Card,"""Blanche - SWSH227""","""SWSH227""","""SWSH: Sword & Shield Promo Cards""","""Pokemon""","""Promo""","""Near Mint""","""Holofoil""",English,No,,,1,$1.95,$1.95,,$0,$1.95,,"""03/31/2026"""
03/31/2026,"""All_Cards""",Card,"""Eternatus VMAX""","""TG22/TG30""","""SWSH11: Lost Origin Trainer Gallery""","""Pokemon""","""Ultra Rare""","""Near Mint""","""Holofoil""",English,No,,,1,$9.84,$9.84,,$0,$9.84,,"""03/31/2026"""
03/31/2026,"""All_Cards""",Card,"""Eri""","""199/162""","""SV05: Temporal Forces""","""Pokemon""","""Ultra Rare""","""Near Mint""","""Holofoil""",English,No,,,1,$2.42,$2.42,,$0,$2.42,,"""03/31/2026"""
03/31/2026,"""All_Cards""",Card,"""Rapid Strike Urshifu V""","""TG20/TG30""","""SWSH09: Brilliant Stars Trainer Gallery""","""Pokemon""","""Ultra Rare""","""Near Mint""","""Holofoil""",English,No,,,1,$4.48,$4.48,,$0,$4.48,,"""03/31/2026"""
03/31/2026,"""All_Cards""",Card,"""Single Strike Urshifu VMAX""","""TG19/TG30""","""SWSH09: Brilliant Stars Trainer Gallery""","""Pokemon""","""Ultra Rare""","""Near Mint""","""Holofoil""",English,No,,,1,$7.08,$7.08,,$0,$7.08,,"""03/31/2026"""
03/31/2026,"""All_Cards""",Card,"""Hearthflame Mask Ogerpon ex (Twilight Masquerade Stamp)""","""040/167""","""Miscellaneous Cards & Products""","""Pokemon""","""Double Rare""","""Near Mint""","""Holofoil""",English,No,,,1,$0.68,$0.68,,$0,$0.68,,"""03/31/2026"""
03/31/2026,"""All_Cards""",Card,"""Single Strike Urshifu V""","""TG18/TG30""","""SWSH09: Brilliant Stars Trainer Gallery""","""Pokemon""","""Ultra Rare""","""Near Mint""","""Holofoil""",English,No,,,1,$4.78,$4.78,,$0,$4.78,,"""03/31/2026"""
03/31/2026,"""All_Cards""",Card,"""Flygon ex""","""222/191""","""SV08: Surging Sparks""","""Pokemon""","""Ultra Rare""","""Near Mint""","""Holofoil""",English,No,,,1,$2.67,$2.67,,$0,$2.67,,"""03/31/2026"""
03/31/2026,"""All_Cards""",Card,"""Tatsugiri ex""","""226/191""","""SV08: Surging Sparks""","""Pokemon""","""Ultra Rare""","""Near Mint""","""Holofoil""",English,No,,,1,$1.78,$1.78,,$0,$1.78,,"""03/31/2026"""
