Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-06-19),Price Override,Watchlist,Date Added,Notes
Singles,Pokemon,Ancient Origins,Lugia EX,68,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,16.34,0,false,2026-05-01,
Singles,Pokemon,Ancient Origins,M Tyranitar EX,43,Ultra Rare,Holofoil,Ungraded,Lightly Played,0.0000,1,24.57,0,false,2026-05-24,
Singles,Pokemon,Ascended Heroes,Canari,257/217,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,3.73,0,false,2026-05-24,
Singles,Pokemon,Ascended Heroes,Cynthia's Spiritomb,244/217,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,13.76,0,false,2026-05-17,; 
Singles,Pokemon,Ascended Heroes,Dustox,220/217,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,4.09,0,false,2026-05-24,
Singles,Pokemon,Ascended Heroes,Ethan's Magcargo,222/217,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,7.62,0,false,2026-05-24,
Singles,Pokemon,Ascended Heroes,Mawile,246/217,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,6.48,0,false,2026-06-17,
Singles,Pokemon,Ascended Heroes,Medicham,241/217,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,6.66,0,false,2026-05-17,
Singles,Pokemon,Ascended Heroes,Mega Dragonite ex,271/217,Mega Attack Rare,Holofoil,Ungraded,Near Mint,0.0000,1,53.8,0,false,2026-05-24,
Singles,Pokemon,Ascended Heroes,Mega Emboar ex,273/217,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,72.61,0,false,2026-05-24,
Singles,Pokemon,Ascended Heroes,Mega Scrafty ex,270/217,Mega Attack Rare,Holofoil,Ungraded,Near Mint,0.0000,1,5.27,0,false,2026-06-17,
Singles,Pokemon,Ascended Heroes,Mega Scrafty ex,285/217,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,77.2,0,false,2026-06-17,
Singles,Pokemon,Ascended Heroes,Mightyena,243/217,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,8.66,0,false,2026-05-17,
Singles,Pokemon,Ascended Heroes,Misdreavus,233/217,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,6.54,0,false,2026-05-24,
Singles,Pokemon,Ascended Heroes,Numel,223/217,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,5.96,0,false,2026-06-17,
Singles,Pokemon,Ascended Heroes,Pikachu ex,276/217,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,"1,296.83",0,false,2026-05-29,
Singles,Pokemon,Ascended Heroes,Team Rocket's Dugtrio,239/217,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,14.71,0,false,2026-05-24,
Singles,Pokemon,Ascended Heroes,Team Rocket's Mimikyu,238/217,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,30.57,0,false,2026-05-24,
